"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 21 10:16:03 UTC 2026","Thu May 21 10:16:09 UTC 2026","6065","","","","","","Home Page - Header navigation links are present",""
"broken","Thu May 21 10:40:05 UTC 2026","Thu May 21 10:42:50 UTC 2026","165717","","","","","","Home Page - Navigate to flight booking page",""
"passed","Thu May 21 10:09:28 UTC 2026","Thu May 21 10:09:54 UTC 2026","25972","","","","","","Customer Authentication - Successful customer login and session storage",""
"broken","Thu May 21 10:39:41 UTC 2026","Thu May 21 10:43:01 UTC 2026","199483","","","","","","Home Page - Navigate to visa booking page",""
"broken","Thu May 21 10:36:51 UTC 2026","Thu May 21 10:39:41 UTC 2026","170000","","","","","","Home Page - Navigate to cars booking page",""
"broken","Thu May 21 10:43:06 UTC 2026","Thu May 21 10:45:53 UTC 2026","166871","","","","","","Agent Signup - First name field validation on agent signup",""
"broken","Thu May 21 10:33:54 UTC 2026","Thu May 21 10:36:51 UTC 2026","177200","","","","","","Customer Signup - Email field validation on customer signup",""
"broken","Thu May 21 10:33:54 UTC 2026","Thu May 21 10:36:51 UTC 2026","176549","","","","","","Customer Signup - Successful customer signup",""
"passed","Thu May 21 10:09:28 UTC 2026","Thu May 21 10:09:55 UTC 2026","27015","","","","","","Admin Authentication - Successful admin login and session storage",""
"broken","Thu May 21 10:36:51 UTC 2026","Thu May 21 10:39:44 UTC 2026","173258","","","","","","Agent Signup - Password field validation on agent signup",""
"broken","Thu May 21 10:42:33 UTC 2026","Thu May 21 10:45:21 UTC 2026","168433","","","","","","Agent Signup - Confirm password field validation on agent signup",""
"passed","Thu May 21 10:09:28 UTC 2026","Thu May 21 10:09:54 UTC 2026","26470","","","","","","Agent Authentication - Successful agent login and session storage",""
"broken","Thu May 21 10:43:01 UTC 2026","Thu May 21 10:43:10 UTC 2026","9431","","","","","","Home Page - Download app section is displayed",""
"broken","Thu May 21 10:37:18 UTC 2026","Thu May 21 10:40:05 UTC 2026","166058","","","","","","Home Page - Navigate to tours booking page",""
"broken","Thu May 21 10:33:54 UTC 2026","Thu May 21 10:37:18 UTC 2026","204442","","","","","","Home Page - Change language to Russian",""
"broken","Thu May 21 10:39:44 UTC 2026","Thu May 21 10:42:33 UTC 2026","168868","","","","","","Agent Signup - Successful agent signup",""
"failed","Thu May 21 10:42:50 UTC 2026","Thu May 21 10:43:06 UTC 2026","15892","","","","","","Home Page - Home page loads successfully",""
