"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 18 10:46:10 UTC 2026","Mon May 18 10:46:35 UTC 2026","24763","","","","","","Agent Authentication - Successful agent login and session storage",""
"broken","Mon May 18 11:14:43 UTC 2026","Mon May 18 11:17:29 UTC 2026","166420","","","","","","Home Page - Navigate to cars booking page",""
"broken","Mon May 18 11:08:01 UTC 2026","Mon May 18 11:10:58 UTC 2026","176707","","","","","","Customer Signup - Email field validation on customer signup",""
"broken","Mon May 18 11:13:57 UTC 2026","Mon May 18 11:16:51 UTC 2026","174102","","","","","","Home Page - Navigate to tours booking page",""
"broken","Mon May 18 11:08:01 UTC 2026","Mon May 18 11:11:33 UTC 2026","212061","","","","","","Home Page - Change language to Russian",""
"passed","Mon May 18 10:52:42 UTC 2026","Mon May 18 10:52:48 UTC 2026","6354","","","","","","Home Page - Header navigation links are present",""
"passed","Mon May 18 10:52:31 UTC 2026","Mon May 18 10:52:42 UTC 2026","10626","","","","","","Home Page - Home page loads successfully",""
"passed","Mon May 18 10:46:10 UTC 2026","Mon May 18 10:46:37 UTC 2026","26926","","","","","","Admin Authentication - Successful admin login and session storage",""
"broken","Mon May 18 11:13:55 UTC 2026","Mon May 18 11:16:49 UTC 2026","173248","","","","","","Agent Signup - Confirm password field validation on agent signup",""
"passed","Mon May 18 10:46:42 UTC 2026","Mon May 18 10:47:02 UTC 2026","19588","","","","","","Home Page - Download app section is displayed",""
"passed","Mon May 18 10:46:10 UTC 2026","Mon May 18 10:46:36 UTC 2026","26374","","","","","","Customer Authentication - Successful customer login and session storage",""
"broken","Mon May 18 11:10:58 UTC 2026","Mon May 18 11:13:55 UTC 2026","177485","","","","","","Agent Signup - First name field validation on agent signup",""
"broken","Mon May 18 11:13:57 UTC 2026","Mon May 18 11:16:51 UTC 2026","173175","","","","","","Agent Signup - Successful agent signup",""
"broken","Mon May 18 11:11:33 UTC 2026","Mon May 18 11:14:43 UTC 2026","189738","","","","","","Home Page - Navigate to visa booking page",""
"broken","Mon May 18 11:10:58 UTC 2026","Mon May 18 11:13:57 UTC 2026","179315","","","","","","Home Page - Navigate to flight booking page",""
"broken","Mon May 18 11:10:58 UTC 2026","Mon May 18 11:13:57 UTC 2026","179836","","","","","","Agent Signup - Password field validation on agent signup",""
"broken","Mon May 18 11:08:01 UTC 2026","Mon May 18 11:10:58 UTC 2026","176977","","","","","","Customer Signup - Successful customer signup",""
